,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1679582880000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3085,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
1,1679586480000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3345,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2,1679590080000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
3,1679593680000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
4,1679597280000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3305,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
5,1679600880000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
6,1679604480000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4395,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
7,1679608080000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
8,1679611680000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
9,1679615280000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.331,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
10,1679618880000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
11,1679622480000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4195,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
12,1679626080000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.422,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
13,1679629680000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4005,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
14,1679633280000.0,0.0,0.0,13.0,1.3634476923076924,0.0,0.0,1.359,1.0,1.0,999.996455036,1000.0,999.938635036,1000.0,0.017724882834071552,0.0
15,1679636880000.0,0.0,0.0,13.0,1.3634476923076924,0.0,0.0,1.3685,1.0,1.0,999.996455036,1000.0,1000.0621350360001,1000.0,0.017724882834071552,0.0
16,1679640480000.0,0.0,0.0,4.1,1.421,0.0,0.0,1.4245,1.0,1.0,1000.32315042,1000.0,1000.3375004200001,1000.0,0.0058242179015389455,0.0
17,1679644080000.0,0.0,0.0,12.1,1.4590008264462808,0.0,0.0,1.468,1.0,1.0,1000.5786639440001,1000.0,1000.6875539440001,1000.0,0.017643700226839976,0.0
18,1679647680000.0,0.0,0.0,3.8,1.5382,0.0,0.0,1.5195,1.0,1.0,1001.09784146,1000.0,1001.02678146,1000.0,0.005838749978199358,0.0
19,1679651280000.0,0.0,0.0,11.8,1.5175423728813557,0.0,0.0,1.498,1.0,1.0,1001.3564187239999,1000.0,1001.1258187239999,1000.0,0.01788274351186402,0.0
20,1679654880000.0,0.0,0.0,36.6,1.4931879781420765,0.0,0.0,1.466,1.0,1.0,1001.3490699879999,1000.0,1000.3539899879999,1000.0,0.05457705173746747,0.0
21,1679658480000.0,0.0,0.0,4.6,1.2835,0.0,0.0,1.3725,0.9998210922564358,1.0,1015.6586018239998,1000.0,1016.0680018239998,1000.0,0.005813075367448226,0.0
22,1679662080000.0,0.0,0.0,4.1,1.4425,0.0,0.0,1.4405,0.9998210922564358,1.0,1016.7269053319997,1000.0,1016.7187053319997,1000.0,0.005816950420987211,0.0
23,1679665680000.0,0.0,0.0,39.4,1.3977497461928934,0.0,0.0,1.384,0.9998210922564358,1.0,1016.7170739139997,1000.0,1016.1753339139997,1000.0,0.054165845556222336,0.0
24,1679669280000.0,0.0,0.0,39.4,1.404592385786802,0.0,0.0,1.403,0.9998210922564358,1.0,1017.4538272139997,1000.0,1017.3910872139998,1000.0,0.05439159843895325,0.0
25,1679672880000.0,0.0,0.0,122.3,1.3784328699918236,0.0,0.0,1.3815,0.9998210922564358,1.0,1017.4311789339997,1000.0,1017.8062889339997,1000.0,0.1656940965546485,0.0
26,1679676480000.0,0.0,0.0,122.3,1.3784328699918236,0.0,0.0,1.3575,0.9998210922564358,1.0,1017.4311789339997,1000.0,1014.8710889339997,1000.0,0.1656940965546485,0.0
27,1679680080000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.2805,0.9998210922564358,1.0,1017.2614190619997,1000.0,976.9012190619998,1000.0,1.0001182399486959,0.0
28,1679683680000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.287,0.9998210922564358,1.0,1017.2614190619997,1000.0,981.8607190619997,1000.0,1.0001182399486959,0.0
29,1679687280000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.3045,0.9998210922564358,1.0,1017.2614190619997,1000.0,995.2132190619998,1000.0,1.0001182399486959,0.0
30,1679690880000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.225,0.9998210922564358,1.0,1017.2614190619997,1000.0,934.5547190619999,1000.0,1.0001182399486959,0.0
31,1679694480000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.2235,0.9998210922564358,1.0,1017.2614190619997,1000.0,933.4102190619998,1000.0,1.0001182399486959,0.0
32,1679698080000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.2405,0.9998210922564358,1.0,1017.2614190619997,1000.0,946.3812190619998,1000.0,1.0001182399486959,0.0
33,1679701680000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.2705,0.9998210922564358,1.0,1017.2614190619997,1000.0,969.2712190619998,1000.0,1.0001182399486959,0.0
34,1679705280000.0,0.00015764212057690452,0.0,763.0,1.3333967234600261,0.0,0.0,1.2825,0.9998210922564358,1.0,1017.2614190619997,1000.0,978.4272190619997,1000.0,1.0001182399486959,0.0
35,1679708880000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.2845,0.9998210922564358,1.0,1016.8024465396013,1000.0,980.2912631319998,1000.0,0.9791944706624229,0.0
36,1679712480000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.2855,0.9998210922564358,1.0,1016.8024465396013,1000.0,981.0379631319998,1000.0,0.9791944706624229,0.0
37,1679716080000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.254,0.9998210922564358,1.0,1016.8024465396013,1000.0,957.5169131319998,1000.0,0.9791944706624229,0.0
38,1679719680000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.2565,0.9998210922564358,1.0,1016.8024465396013,1000.0,959.3836631319998,1000.0,0.9791944706624229,0.0
39,1679723280000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.2195,0.9998210922564358,1.0,1016.8024465396013,1000.0,931.7557631319999,1000.0,0.9791944706624229,0.0
40,1679726880000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.233,0.9998210922564358,1.0,1016.8024465396013,1000.0,941.8362131319999,1000.0,0.9791944706624229,0.0
41,1679730480000.0,0.0,0.0,746.7,1.3333967234600261,0.0,0.0,1.245,0.9998210922564358,1.0,1016.8024465396013,1000.0,950.7966131319998,1000.0,0.9791944706624229,0.0
