,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1660723140000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0305,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
1,1660726740000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0195,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2,1660730340000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
3,1660733940000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0855,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
4,1660737540000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0785,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
5,1660741140000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0325,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
6,1660744740000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9475,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
7,1660748340000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
8,1660751940000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9185,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
9,1660755540000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
10,1660759140000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
11,1660762740000.0,0.0,0.0,0.2,1.96,0.0,0.0,1.9395,1.0,1.0,999.9999608,1000.0,999.9958608000001,1000.0,0.0003920000153664006,0.0
12,1660766340000.0,0.0,0.0,0.8,1.91925,0.0,0.0,1.9235,1.0,1.0,999.9998464600001,1000.0,1000.0032464600001,1000.0,0.0015354002357453522,0.0
13,1660769940000.0,0.0,0.0,0.8,1.91925,0.0,0.0,1.942,1.0,1.0,999.9998464600001,1000.0,1000.01804646,1000.0,0.0015354002357453522,0.0
14,1660773540000.0,0.0,0.0,0.8,1.91925,0.0,0.0,1.923,1.0,1.0,999.9998464600001,1000.0,1000.0028464600001,1000.0,0.0015354002357453522,0.0
15,1660777140000.0,0.0,0.0,0.2,1.96,0.0,0.0,1.9395,1.0,1.0,1000.0266510200001,1000.0,1000.0225510200002,1000.0,0.00039198955307858107,0.0
16,1660780800000.0,0.0,0.0,0.4,1.9395,0.0,0.0,1.911,1.0,1.0,1000.0266126400002,1000.0,1000.0152126400002,1000.0,0.0007757793544633201,0.0
17,1660784400000.0,0.0,0.0,0.2,1.9535,0.0,0.0,1.9345,1.0,1.0,1000.0533413700002,1000.0,1000.0495413700003,1000.0,0.00039067916063834107,0.0
18,1660788000000.0,0.0,0.0,0.2,1.9535,0.0,0.0,1.956,1.0,1.0,1000.0533413700002,1000.0,1000.0538413700002,1000.0,0.00039067916063834107,0.0
