,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
26,604,DOGE,0.33821590318143446,-0.016461708000000002,405.3172193452897,0.0,405.3172193452897,1.0,-23251.0,0.00354,54957.0,0.00352545370508015,close_trailing_long
27,606,DOGE,0.33847773648999174,-0.016474452,405.6392226297797,0.0,405.6392226297797,1.0,-23269.0,0.00354,31688.0,0.00352545370508015,close_trailing_long
28,620,DOGE,0.0,-0.040019868,405.5992027617797,0.0,405.5992027617797,1.0,58338.0,0.00343,90026.0,0.003463598482733652,entry_grid_normal_long
29,629,DOGE,0.38873236072971157,-0.016495896,405.9714392265094,0.0,405.9714392265094,1.0,-23701.0,0.00348,66325.0,0.003463598482733652,close_trailing_long
30,631,DOGE,0.5788771941095758,-0.016549164800000002,406.533767255819,0.0,406.533767255819,1.0,-23723.0,0.003488,42602.0,0.003463598482733652,close_trailing_long
31,634,DOGE,0.5559264441793622,-0.0165674344,407.0731262655984,0.0,407.0731262655984,1.0,-23756.0,0.003487,18846.0,0.003463598482733652,close_trailing_long
32,636,DOGE,0.45343022315724196,-0.011149956,407.5154065327556,0.0,407.5154065327556,1.0,-15965.0,0.003492,2881.0,0.003463598482733652,close_trailing_long
33,642,DOGE,0.24892277124434883,-0.0020455100000000004,407.7622837939999,0.0,407.7622837939999,1.0,-2881.0,0.00355,0.0,0.003463598482733652,close_grid_long
34,643,DOGE,0.0,-0.0019580472,407.76032574679994,0.0,407.76032574679994,1.0,2718.0,0.003602,2718.0,0.003602,entry_initial_normal_long
35,717,DOGE,0.23918399999999992,-0.0020058840000000003,407.99750386279993,0.0,407.99750386279993,1.0,-2718.0,0.00369,0.0,0.003602,close_grid_long
36,718,DOGE,0.0,-0.00195978,407.99554408279994,0.0,407.99554408279994,1.0,2670.0,0.00367,2670.0,0.00367,entry_initial_normal_long
37,736,DOGE,0.0,-0.0035191400000000005,407.99202494279996,0.0,407.99202494279996,1.0,4915.0,0.00358,7585.0,0.0036116809492419246,entry_grid_normal_long
38,741,DOGE,0.0,-0.009830656,407.98219428679994,0.0,407.98219428679994,1.0,13964.0,0.00352,21549.0,0.0035522706390087705,entry_grid_normal_long
39,753,DOGE,0.14480184880968883,-0.013338608,408.11365752760963,0.0,408.11365752760963,1.0,-18734.0,0.00356,2815.0,0.0035522706390087705,close_trailing_long
40,790,DOGE,0.0,-0.003585944,408.1100715836096,0.0,408.1100715836096,1.0,5182.0,0.00346,7997.0,0.0034924799110678615,entry_grid_normal_long
41,799,DOGE,0.06939861648866692,-0.0035992596000000003,408.17587094049827,0.0,408.17587094049827,1.0,-5133.0,0.003506,2864.0,0.0034924799110678615,close_trailing_long
42,865,DOGE,0.2506575347016442,-0.002050624,408.4244778511999,0.0,408.4244778511999,1.0,-2864.0,0.00358,0.0,0.0034924799110678615,close_grid_long
43,866,DOGE,0.0,-0.0019615224000000004,408.42251632879993,0.0,408.42251632879993,1.0,2748.0,0.003569,2748.0,0.003569,entry_initial_normal_long
