,balance,equity,balance_btc,equity_btc
0,400.0996359764863,400.0,0.0,0.0
60,400.5472093813999,400.1794892453999,0.0,0.0798532689136341
120,400.5418279513999,400.5472093813999,0.0,0.0
180,400.6395313517286,400.3158379513999,0.0,-0.22598999999999986
240,400.6395313517286,400.6117368285999,0.0,-0.027794523128679027
300,400.6395313517286,400.5726918285999,0.0,-0.06683952312867857
360,400.8674243125999,400.7054448285999,0.0,0.06591347687132099
420,400.8654989365999,400.84794993659995,0.0,-0.017549000000000155
480,400.91080749991715,400.7752469365999,0.0,-0.09025200000000001
540,404.99546515010826,400.4807150213999,0.0,-0.43009247851727145
600,407.76032574679994,404.25610978319986,0.0,-0.7393553669083759
660,407.99554408279994,407.67334974679994,0.0,-0.08697600000000094
720,408.11365752760963,408.00889408279994,0.0,0.013349999999999456
780,408.17587094049827,408.06222567879996,0.0,-0.0514318488096896
840,408.42251632879993,408.2489604751999,0.0,0.07308953470164425
900,408.67057279279993,408.3428243287999,0.0,-0.07969199999999985
960,408.66861007279994,408.66043207279995,0.0,-0.008177999999999904
1020,408.66861007279994,408.73676007279994,0.0,0.06815000000000077
1080,408.7025188178019,408.55411807279995,0.0,-0.11449199999999983
1140,408.99387742759995,408.60727966479993,0.0,-0.09523915300193761
1200,408.99387742759995,408.9224294276,0.0,-0.07144799999999996
1260,409.2262286076,409.04883742759995,0.0,0.05496000000000015
1320,409.46919432759995,409.3650506076,0.0,0.13882200000000072
1380,409.46722744359994,409.46919432759995,0.0,0.0
1440,409.5005323916314,409.59620344359996,0.0,0.12897599999999965
1500,409.5005323916314,409.52372575159995,0.0,0.023193359968562817
1560,409.5005323916314,409.53766075159996,0.0,0.03712835996856346
1620,409.5005323916314,409.40388475159995,0.0,-0.09664764003143737
1680,409.74266132959997,409.52372575159995,0.0,0.023193359968562817
1740,409.74266132959997,409.6727733296,0.0,-0.06988799999999995
1800,409.74266132959997,409.7695413296,0.0,0.02688000000000007
1860,409.74266132959997,409.65395732959996,0.0,-0.08870400000000012
1920,409.74266132959997,409.6378293296,0.0,-0.10483199999999993
1980,409.74266132959997,409.6512693296,0.0,-0.09139200000000047
2040,409.9825653296,409.84749332959996,0.0,0.10483199999999993
2100,409.9825653296,409.9825653296,0.0,0.0
2160,409.98059663559997,409.9825653296,0.0,0.0
2220,409.98059663559997,410.0850366356,0.0,0.10444000000000027
2280,409.98059663559997,410.0824256356,0.0,0.10182899999999993
2340,410.2116004116,410.14770063559996,0.0,0.16710400000000067
2400,410.2116004116,410.1081604116,0.0,-0.10344000000000027
2460,410.2116004116,410.1055744116,0.0,-0.1060259999999995
2520,410.2116004116,410.1831544116,0.0,-0.028446000000000412
2580,410.2116004116,410.1753964116,0.0,-0.03620400000000032
2640,410.2116004116,410.1262624116,0.0,-0.08533800000000011
2700,410.2116004116,410.2684924116,0.0,0.0568919999999997
2760,410.2116004116,410.1624664116,0.0,-0.04913399999999979
2820,410.2116004116,410.1417784116,0.0,-0.0698220000000003
2880,410.20805822759996,410.03833841159997,0.0,-0.17326200000000055
2940,410.20805822759996,409.82837822759996,0.0,-0.379680000000003
3000,410.20805822759996,409.77694922759997,0.0,-0.43110900000000346
3060,410.20805822759996,409.89450122759996,0.0,-0.31355700000000375
3120,410.5545597233571,409.98266522759997,0.0,-0.2253930000000048
3180,410.5545597233571,410.52276591559996,0.0,-0.03179380775716721
3240,410.5545597233571,410.53661591559995,0.0,-0.017943807757167776
3300,410.5545597233571,410.5199959155999,0.0,-0.03456380775716758
3360,410.5545597233571,410.6751159155999,0.0,0.1205561922428326
3420,410.5545597233571,410.65018591559993,0.0,0.09562619224283288
3480,410.5545597233571,410.69727591559996,0.0,0.14271619224283313
3540,410.5545597233571,410.65295591559993,0.0,0.09839619224283205
3600,410.5545597233571,410.54215591559995,0.0,-0.01240380775716704
3660,410.5545597233571,410.5781659155999,0.0,0.023606192242832932
3720,410.5545597233571,410.6612659155999,0.0,0.10670619224283195
3780,410.5545597233571,410.5920159155999,0.0,0.03745619224283237
3840,410.5408645793571,410.53938591559995,0.0,-0.01517380775716741
3900,410.7607665456985,409.65598777159994,0.0,-0.8848768077571553
3960,410.7607665456985,410.833320308,0.0,0.07255376230146131
4020,410.99224642559994,410.92353030799995,0.0,0.16276376230146067
4080,410.99224642559994,410.98388842559996,0.0,-0.0083579999999999
4140,410.99224642559994,411.01732042559996,0.0,0.025073999999999704
4200,410.99224642559994,410.87244842559994,0.0,-0.1197980000000002
4260,410.99224642559994,410.95324242559997,0.0,-0.039004000000000344
4320,410.99224642559994,411.02846442559996,0.0,0.03621799999999997
4380,410.99224642559994,410.91423842559993,0.0,-0.07800799999999948
4440,410.99224642559994,410.93095442559996,0.0,-0.06129199999999968
4500,410.99224642559994,410.98946042559993,0.0,-0.0027860000000003698
4560,413.70568020984825,410.88359242559994,0.0,-0.10865399999999992
4620,417.9436668923418,394.9366038283999,0.0,-18.769076381448357
4680,417.9436668923418,417.9597964471999,0.0,0.016129554858065973
4740,417.9436668923418,418.0322464471999,0.0,0.08857955485806603
4800,417.9436668923418,418.1298964471999,0.0,0.1862295548580667
4860,418.00053508326954,417.9629464471999,0.0,0.019279554858066393
4920,430.673458143,417.99149894919987,0.0,-0.009036134069685344
4980,430.93360918039997,430.727682143,0.0,0.05422399999999985
5040,430.93360918039997,431.02295218039995,0.0,0.08934300000000038
5100,430.93360918039997,430.8244121804,0.0,-0.10919700000000014
5160,430.93360918039997,430.9832441804,0.0,0.049634999999999416
5220,430.93360918039997,431.01633418039995,0.0,0.0827249999999995
