timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1620958560000.0,1002,1620958560000.0,0.0,-0.00040092000000000003,999.99959908,1000.00289908,3.0,1.3364,3.0,1.3364,long_ientry_normal,4.0092,0.004009201607369108,
1620971580000.0,1219,1620971580000.0,0.06510000000000016,-0.00040743,1000.0642916500001,1000.0642916500001,-3.0,1.3581,0.0,1.3364,long_nclose,0.0,0.0,217.0
1620972900000.0,1241,1620972900000.0,0.0,-0.00040413,1000.0638875200001,1000.05998752,3.0,1.3471,3.0,1.3471,long_ientry_normal,4.0413,0.004041041827859401,22.0
1620977880000.0,1324,1620977880000.0,0.06570000000000009,-0.00041070000000000006,1000.1291768200001,1000.1291768200001,-3.0,1.369,0.0,1.3471,long_nclose,0.0,0.0,83.0
1620998520000.0,1668,1620998520000.0,0.0,-0.00041550000000000007,1000.1287613200001,1000.1281613200001,3.0,1.385,3.0,1.385,long_ientry_normal,4.155,0.0041544650655942605,344.0
1621000740000.0,1705,1621000740000.0,0.0674999999999999,-0.00042225000000000005,1000.19583907,1000.19583907,-3.0,1.4075,0.0,1.385,long_nclose,0.0,0.0,37.0
1621013400000.0,1916,1621013400000.0,0.0,-0.00042156,1000.1954175100001,1000.1831175100001,3.0,1.4052,3.0,1.4052,long_ientry_normal,4.2156,0.004214776358898737,211.0
1621024200000.0,2096,1621024200000.0,0.0,-0.00163872,1000.1937787900001,1000.0569787900001,12.0,1.3656,15.0,1.3735199999999999,long_rentry,20.6028,0.02059880838783516,180.0
1621034700000.0,2271,1621034700000.0,0.335700000000001,-0.00209385,1000.52738494,1000.52738494,-15.0,1.3959,0.0,1.3735199999999999,long_nclose,0.0,0.0,175.0
1621034760000.0,2272,1621034760000.0,0.0,-0.00041859000000000004,1000.5269663500001,1000.5254663500001,3.0,1.3953,3.0,1.3953,long_ientry_normal,4.1859,0.004183695333340677,1.0
1621036260000.0,2297,1621036260000.0,0.06809999999999983,-0.0004254,1000.59464095,1000.59464095,-3.0,1.418,0.0,1.3953,long_nclose,0.0,0.0,25.0
1621036560000.0,2302,1621036560000.0,0.0,-0.00042201000000000006,1000.59421894,1000.58251894,3.0,1.4067,3.0,1.4067,long_ientry_normal,4.2201,0.0042175938258674425,5.0
1621061100000.0,2711,1621061100000.0,0.0,-0.0016405200000000001,1000.59257842,1000.49177842,12.0,1.3671,15.0,1.3750200000000001,long_rentry,20.625300000000003,0.020613085130581996,409.0
1621073820000.0,2923,1621073820000.0,0.0,-0.0078824,1000.58469602,999.9549960200001,59.0,1.336,74.0,1.3439094594594594,long_rentry,99.4493,0.09939118636890701,212.0
1621082280000.0,3064,1621082280000.0,1.6198999999999981,-0.01010692,1002.1944891,1002.1944891,-74.0,1.3658,0.0,1.3439094594594594,long_nclose,0.0,0.0,141.0
1621082340000.0,3065,1621082340000.0,0.0,-0.00040973999999999996,1002.19407936,1002.19227936,3.0,1.3658,3.0,1.3658,long_ientry_normal,4.0973999999999995,0.004088429660866281,1.0
1621088820000.0,3173,1621088820000.0,0.06659999999999999,-0.0004164,1002.2602629600001,1002.2602629600001,-3.0,1.388,0.0,1.3658,long_nclose,0.0,0.0,108.0
1621098360000.0,3332,1621098360000.0,0.0,-0.00042752999999999997,1002.2598354300001,1002.25233543,3.0,1.4251,3.0,1.4251,long_ientry_normal,4.2753,0.0042656603096997954,159.0
1621099800000.0,3356,1621099800000.0,0.06959999999999966,-0.00043449,1002.3290009400001,1002.3290009400001,-3.0,1.4483,0.0,1.4251,long_nclose,0.0,0.0,24.0
1621106160000.0,3462,1621106160000.0,0.0,-0.00043116000000000004,1002.3285697800002,1002.3282697800001,3.0,1.4372,3.0,1.4372,long_ientry_normal,4.3116,0.0043015834627425096,106.0
1621108200000.0,3496,1621108200000.0,0.0701999999999996,-0.00043818000000000004,1002.3983316000002,1002.3983316000002,-3.0,1.4606,0.0,1.4372,long_nclose,0.0,0.0,34.0
1621122060000.0,3727,1621122060000.0,0.0,-0.0002955,1002.3980361000002,1002.3766361000003,2.0,1.4775,2.0,1.4775,long_ientry_normal,2.955,0.0029479307556277037,231.0
1621123200000.0,3746,1621123200000.0,0.04800000000000004,-0.00030030000000000004,1002.4457358000002,1002.4457358000002,-2.0,1.5015,0.0,1.4775,long_nclose,0.0,0.0,19.0
1621163820000.0,4423,1621163820000.0,0.0,-0.00031342,1002.4454223800002,1002.4492223800002,2.0,1.5671,2.0,1.5671,long_ientry_normal,3.1342,0.0031265542542543616,677.0
1621169100000.0,4511,1621169100000.0,0.0,-0.0012184,1002.4442039800002,1002.3620039800003,8.0,1.523,10.0,1.53182,long_rentry,15.3182,0.015280850484428172,88.0
1621178460000.0,4667,1621178460000.0,0.0,-0.00580515,1002.4383988300002,1001.8434988300002,39.0,1.4885,49.0,1.4973408163265307,long_rentry,73.36970000000001,0.0731912305889656,156.0
1621183500000.0,4751,1621183500000.0,0.0,-0.09291699,1002.3454818400002,999.8138818400002,639.0,1.4541,688.0,1.4571796511627906,long_rentry,1002.5396,1.0001936639247813,84.0
1621183620000.0,4753,1621183620000.0,3.1054395348837724,-0.03353424,1005.4173871348839,1010.1647476000003,-228.0,1.4708,460.0,1.4571796511627906,long_nclose,670.3026395348836,0.6666909167395946,2.0
1621183980000.0,4759,1621183980000.0,4.282680232558167,-0.033943400000000006,1009.6661239674421,1014.1098042000002,-230.0,1.4758,230.0,1.4571796511627906,long_nclose,335.1513197674418,0.33194272028309546,6.0
1621184280000.0,4764,1621184280000.0,5.455680232558191,-0.034060700000000006,1015.0877435000002,1015.0877435000002,-230.0,1.4809,0.0,1.4571796511627906,long_nclose,0.0,0.0,5.0
1621184340000.0,4765,1621184340000.0,0.0,-0.00044154000000000003,1015.0873019600002,1015.0927019600002,3.0,1.4718,3.0,1.4718,long_ientry_normal,4.4154,0.004349773651462729,1.0
1621185300000.0,4781,1621185300000.0,0.0,-0.0017163599999999999,1015.0855856000002,1015.2550856000001,12.0,1.4303,15.0,1.4385999999999999,long_rentry,21.578999999999997,0.02125830600504982,16.0
1621186800000.0,4806,1621186800000.0,0.3510000000000013,-0.002193,1015.4343926000001,1015.4343926000001,-15.0,1.462,0.0,1.4385999999999999,long_nclose,0.0,0.0,25.0
1621186920000.0,4808,1621186920000.0,0.0,-0.00043956,1015.4339530400001,1015.4339530400001,3.0,1.4652,3.0,1.4652,long_ientry_normal,4.3956,0.004328789663611778,2.0
1621191360000.0,4882,1621191360000.0,0.0,-0.0017086800000000002,1015.4322443600001,1015.3863443600002,12.0,1.4239,15.0,1.4321599999999999,long_rentry,21.4824,0.021155916723463692,74.0
1621192140000.0,4895,1621192140000.0,0.0,-0.008209850000000001,1015.4240345100002,1014.7771345100002,59.0,1.3915,74.0,1.3997418918918918,long_rentry,103.5809,0.10200753230150168,13.0
1621192920000.0,4908,1621192920000.0,1.6841000000000141,-0.010526500000000001,1017.0976080100003,1017.0976080100003,-74.0,1.4225,0.0,1.3997418918918918,long_nclose,0.0,0.0,13.0
1621192980000.0,4909,1621192980000.0,0.0,-0.00042768,1017.0971803300002,1017.0872803300002,3.0,1.4256,3.0,1.4256,long_ientry_normal,4.2768,0.004204907930835458,1.0
1621194540000.0,4935,1621194540000.0,0.0,-0.00166248,1017.0955178500002,1016.9899178500002,12.0,1.3854,15.0,1.39344,long_rentry,20.901600000000002,0.020550282282418376,26.0
1621194840000.0,4940,1621194840000.0,0.0,-0.007988010000000002,1017.0875298400002,1016.4870298400002,59.0,1.3539,74.0,1.361914864864865,long_rentry,100.7817,0.09908852192480833,5.0
1621195140000.0,4945,1621195140000.0,1.641700000000005,-0.010242340000000003,1018.7189875000003,1018.7189875000003,-74.0,1.3841,0.0,1.361914864864865,long_nclose,0.0,0.0,5.0
1621195260000.0,4947,1621195260000.0,0.0,-0.00041898,1018.7185685200003,1018.7278685200004,3.0,1.3966,3.0,1.3966,long_ientry_normal,4.1898,0.00411281400915953,2.0
1621201320000.0,5048,1621201320000.0,0.06809999999999983,-0.00042579000000000006,1018.7862427300003,1018.7862427300003,-3.0,1.4193,0.0,1.3966,long_nclose,0.0,0.0,101.0
1621201380000.0,5049,1621201380000.0,0.0,-0.00042579000000000006,1018.7858169400002,1018.7864169400002,3.0,1.4193,3.0,1.4193,long_ientry_normal,4.2579,0.004179386804567934,1.0
1621203480000.0,5084,1621203480000.0,0.0692999999999997,-0.00043272,1018.8546842200002,1018.8546842200002,-3.0,1.4424,0.0,1.4193,long_nclose,0.0,0.0,35.0
1621203540000.0,5085,1621203540000.0,0.0,-0.00043200000000000004,1018.8542522200001,1018.8338522200002,3.0,1.44,3.0,1.44,long_ientry_normal,4.32,0.004240056897821326,1.0
