timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1675957380000.0,468,1675957380000.0,0.0,-0.00051552,999.99948448,999.99768448,6.0,0.4296,6.0,0.4296,long_ientry_normal,2.5776,0.002577601328805037,
1675957740000.0,474,1675957740000.0,0.027599999999999958,-0.0005210400000000001,1000.02656344,1000.02656344,-6.0,0.4342,0.0,0.4296,long_nclose,0.0,0.0,6.0
1675957800000.0,475,1675957800000.0,0.0,-0.00043365,1000.02612979,1000.0223797900001,5.0,0.43365,5.0,0.43365,long_ientry_normal,2.16825,0.002168193345563201,1.0
1675958040000.0,479,1675958040000.0,0.0,-0.00111579,1000.025014,999.954814,13.0,0.42915,18.0,0.4304,long_rentry,7.7472,0.007747006216386503,4.0
1675958160000.0,481,1675958160000.0,0.0,-0.0039159799999999995,1000.0210980200001,999.9675980200001,46.0,0.42565,64.0,0.42698593749999997,long_rentry,27.327099999999998,0.027326523464461412,2.0
1675958400000.0,485,1675958400000.0,0.29210000000000136,-0.00552384,1000.30767418,1000.30767418,-64.0,0.43155,0.0,0.42698593749999997,long_nclose,0.0,0.0,4.0
1675958460000.0,486,1675958460000.0,0.0,-0.00043185000000000006,1000.30724233,1000.30599233,5.0,0.43185,5.0,0.43185,long_ientry_normal,2.15925,0.002158586790764898,1.0
1675959780000.0,508,1675959780000.0,0.0,-0.00111111,1000.30613122,1000.24133122,13.0,0.42735,18.0,0.4286,long_rentry,7.714799999999999,0.007712438981645373,22.0
1675959780000.0,508,1675959780000.0,0.0,-0.0038994200000000002,1000.3022318,1000.2903318,46.0,0.42385,64.0,0.4251859375,long_rentry,27.2119,0.027203678183376018,0.0
1675959900000.0,510,1675959900000.0,0.0,-0.0136757,1000.2885560999999,1000.2878560999999,163.0,0.4195,227.0,0.42110308370044053,long_rentry,95.5904,0.09556282476398113,2.0
1675960200000.0,515,1675960200000.0,1.0207999999999953,-0.01932224,1001.29003386,1001.29003386,-227.0,0.4256,0.0,0.42110308370044053,long_nclose,0.0,0.0,5.0
1675960260000.0,516,1675960260000.0,0.0,-0.00050748,1001.28952638,1001.27212638,6.0,0.4229,6.0,0.4229,long_ientry_normal,2.5374,0.0025341321697167434,1.0
1675960320000.0,517,1675960320000.0,0.0,-0.0012555,1001.28827088,1001.23037088,15.0,0.4185,21.0,0.41975714285714283,long_rentry,8.8149,0.008803558631774311,1.0
1675960560000.0,521,1675960560000.0,0.0,-0.0043995300000000005,1001.28387135,1001.19242135,53.0,0.41505,74.0,0.41638581081081083,long_rentry,30.81255,0.03077304137382778,4.0
1675960980000.0,528,1675960980000.0,0.3303499999999987,-0.00622858,1001.60799277,1001.60799277,-74.0,0.42085,0.0,0.41638581081081083,long_nclose,0.0,0.0,7.0
