,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1684742940000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.176,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
1,1684746540000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.144,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2,1684750140000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
3,1684753740000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
4,1684757340000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.028,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
5,1684760940000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.891,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
6,1684764540000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.011,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
7,1684768140000.0,0.0,0.0,0.0,0.0,0.0,0.0,10.037,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
8,1684771740000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.998,1.0,1.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
9,1684775340000.0,0.0,0.0,0.37,10.078,0.0,0.0,10.039,1.0,1.0,999.999627114,1000.0,999.985197114,1000.0,0.0037288613904402084,0.0
10,1684778940000.0,0.0,0.0,0.36,10.336,0.0,0.0,10.353,1.0,1.0,1000.127999219,1000.0,1000.134119219,1000.0,0.003720483780981732,0.0
11,1684782540000.0,0.0,0.0,1.09,10.407055045871559,0.0,0.0,10.33,1.0,1.0,1000.255359866,1000.0,1000.1713698660001,1000.0,0.01134079401635965,0.0
12,1684786140000.0,0.0,0.0,1.09,10.407055045871559,0.0,0.0,10.541,1.0,1.0,1000.255359866,1000.0,1000.401359866,1000.0,0.01134079401635965,0.0
13,1684789740000.0,0.0,0.0,1.09,10.407055045871559,0.0,0.0,10.519,1.0,1.0,1000.255359866,1000.0,1000.3773798660001,1000.0,0.01134079401635965,0.0
14,1684793340000.0,0.0,0.0,1.09,10.407055045871559,0.0,0.0,10.513,1.0,1.0,1000.255359866,1000.0,1000.3708398660001,1000.0,0.01134079401635965,0.0
15,1684796940000.0,0.0,0.0,2.89,10.230411764705881,0.0,0.0,10.186,1.0,1.0,1000.253537646,1000.0,1000.1251876460001,1000.0,0.02955839583390073,0.0
16,1684800540000.0,0.0,0.0,14.71,9.898922501699523,0.0,0.0,9.893,1.0,1.0,1000.2419329200001,1000.0,1000.15481292,1000.0,0.1455779299063302,0.0
17,1684804140000.0,0.0,0.0,39.06,9.62400051203277,0.0,0.0,9.522,1.0,1.0,1000.218902889,1000.0,996.234762889,1000.0,0.37583118946684946,0.0
18,1684807740000.0,0.0,0.0,25.99,9.62400051203277,0.0,0.0,9.784,1.0,1.0,1003.3035978697317,1000.0,1007.461984562,1000.0,0.24930417257430001,0.0
19,1684811340000.0,0.0,0.0,0.37,10.267,0.0,0.0,10.288,1.0,1.0,1012.061948156,1000.0,1012.069718156,1000.0,0.0037535152931314946,0.0
20,1684814940000.0,0.0,0.0,0.37,10.267,0.0,0.0,10.139,1.0,1.0,1012.061948156,1000.0,1012.014588156,1000.0,0.0037535152931314946,0.0
21,1684818540000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.137,1.0,1.0,1012.06118713,1000.0,1012.10694713,1000.0,0.011273083233587633,0.0
22,1684822140000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.187,1.0,1.0,1012.06118713,1000.0,1012.16344713,1000.0,0.011273083233587633,0.0
23,1684825740000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.08,1.0,1.0,1012.06118713,1000.0,1012.04253713,1000.0,0.011273083233587633,0.0
24,1684829340000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.046,1.0,1.0,1012.06118713,1000.0,1012.00411713,1000.0,0.011273083233587633,0.0
25,1684832940000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.12,1.0,1.0,1012.06118713,1000.0,1012.08773713,1000.0,0.011273083233587633,0.0
26,1684836540000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.026,1.0,1.0,1012.06118713,1000.0,1011.98151713,1000.0,0.011273083233587633,0.0
27,1684840140000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.103,1.0,1.0,1012.06118713,1000.0,1012.06852713,1000.0,0.011273083233587633,0.0
28,1684843740000.0,0.0,0.0,1.13,10.096504424778761,0.0,0.0,10.075,1.0,1.0,1012.06118713,1000.0,1012.03688713,1000.0,0.011273083233587633,0.0
29,1684847340000.0,0.0,0.0,5.73,9.805856893542757,0.0,0.0,9.726,1.0,1.0,1012.0567092790001,1000.0,1011.5991292790001,1000.0,0.05551819328388091,0.0
30,1684850940000.0,0.0,0.0,5.73,9.805856893542757,0.0,0.0,9.809,1.0,1.0,1012.0567092790001,1000.0,1012.0747192790001,1000.0,0.05551819328388091,0.0
31,1684854540000.0,0.0,0.0,5.73,9.805856893542757,0.0,0.0,9.784,1.0,1.0,1012.0567092790001,1000.0,1011.9314692790001,1000.0,0.05551819328388091,0.0
32,1684858140000.0,0.0,0.0,5.73,9.805856893542757,0.0,0.0,9.764,1.0,1.0,1012.0567092790001,1000.0,1011.8168692790001,1000.0,0.05551819328388091,0.0
33,1684861740000.0,0.0,0.0,15.2,9.604225,0.0,0.0,9.6,1.0,1.0,1012.047729613,1000.0,1011.983509613,1000.0,0.14424637863258025,0.0
34,1684865340000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.471,1.0,1.0,1012.042276243,1000.0,1010.888906243,1000.0,0.19813196020267235,0.0
35,1684868940000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.629,1.0,1.0,1012.042276243,1000.0,1014.214806243,1000.0,0.19813196020267235,0.0
36,1684872540000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.581,1.0,1.0,1012.042276243,1000.0,1013.204406243,1000.0,0.19813196020267235,0.0
37,1684876140000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.53,1.0,1.0,1012.042276243,1000.0,1012.1308562429999,1000.0,0.19813196020267235,0.0
38,1684879740000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.552,1.0,1.0,1012.042276243,1000.0,1012.593956243,1000.0,0.19813196020267235,0.0
39,1684883340000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.463,1.0,1.0,1012.042276243,1000.0,1010.7205062429999,1000.0,0.19813196020267235,0.0
40,1684886940000.0,0.0,0.0,21.05,9.525791923990498,0.0,0.0,9.432,1.0,1.0,1012.042276243,1000.0,1010.0679562429999,1000.0,0.19813196020267235,0.0
41,1684890540000.0,0.0,0.0,55.89,9.221191805331904,0.0,0.0,9.159,1.0,1.0,1012.010790794,1000.0,1008.5348907939999,1000.0,0.5092558445900077,0.0
42,1684894140000.0,0.0,0.0,55.89,9.221191805331904,0.0,0.0,9.087,1.0,1.0,1012.010790794,1000.0,1004.5108107939999,1000.0,0.5092558445900077,0.0
43,1684897740000.0,0.0,0.0,55.89,9.221191805331904,0.0,0.0,9.02,1.0,1.0,1012.010790794,1000.0,1000.7661807939999,1000.0,0.5092558445900077,0.0
44,1684901340000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.521,0.999934569555732,1.0,1011.9611257939999,1000.0,970.3954057939999,1000.0,1.0000605598421106,0.0
45,1684904940000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.509,0.999934569555732,1.0,1011.9611257939999,1000.0,969.0287257939998,1000.0,1.0000605598421106,0.0
46,1684908540000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.45,0.999934569555732,1.0,1011.9611257939999,1000.0,962.3092157939997,1000.0,1.0000605598421106,0.0
47,1684912140000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.347,0.9999344340229487,1.0,1011.9611257939999,1000.0,950.5785457939996,1000.0,1.0000605598421106,0.0
48,1684915740000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.455,0.9999344340229487,1.0,1011.9611257939999,1000.0,962.8786657939997,1000.0,1.0000605598421106,0.0
49,1684919340000.0,0.0005380999736606326,0.0,113.89,8.885963736939154,0.0,0.0,8.466,0.9999344340229487,1.0,1011.9611257939999,1000.0,964.1314557939996,1000.0,1.0000605598421106,0.0
50,1684922940000.0,0.0,0.0,102.39,8.885963736939154,0.0,0.0,8.6,0.9999344340229487,1.0,1009.3870803691997,1000.0,980.1072533439997,1000.0,0.9013725702655254,0.0
51,1684926540000.0,0.0,0.0,102.39,8.885963736939154,0.0,0.0,8.542,0.9999344340229487,1.0,1009.3870803691997,1000.0,974.1686333439998,1000.0,0.9013725702655254,0.0
52,1684930140000.0,0.0,0.0,102.39,8.885963736939154,0.0,0.0,8.412,0.9999344340229487,1.0,1009.3870803691997,1000.0,960.8579333439998,1000.0,0.9013725702655254,0.0
53,1684933740000.0,0.0,0.0,102.39,8.885963736939154,0.0,0.0,8.408,0.9999344340229487,1.0,1009.3870803691997,1000.0,960.4483733439997,1000.0,0.9013725702655254,0.0
