timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1624998780000.0,804,1624998780000.0,0.0,-0.0006965000000000001,999.9993035,1000.0033035,0.2,34.825,0.2,34.825,long_ientry_normal,6.965000000000001,0.006965004851125879,
1625005680000.0,919,1625005680000.0,0.0,-0.00067586,999.99862764,999.79302764,0.2,33.793,0.4,34.309,long_rentry,13.7236,0.013723618833745541,115.0
1625007840000.0,955,1625007840000.0,0.08960000000000151,-0.0013813200000000003,1000.0868463200001,1000.0868463200001,-0.4,34.533,0.0,34.309,long_nclose,0.0,0.0,36.0
1625007900000.0,956,1625007900000.0,0.0,-0.0006907,1000.0861556200001,1000.0901556200001,0.2,34.535,0.2,34.535,long_ientry_normal,6.907,0.006906404974397459,1.0
1625011500000.0,1016,1625011500000.0,0.0,-0.0006702400000000001,1000.0854853800001,999.8380853800002,0.2,33.512,0.4,34.0235,long_rentry,13.6094,0.013608236694715021,60.0
1625024280000.0,1229,1625024280000.0,0.0,-0.0006602400000000001,1000.0848251400001,999.5680251400001,0.2,33.012,0.6,33.68633333333334,long_rentry,20.2118,0.020210085676653063,213.0
1625024760000.0,1237,1625024760000.0,0.0,-0.00098043,1000.0838447100001,999.4392447100001,0.3,32.681,0.9,33.35122222222222,long_rentry,30.016099999999998,0.03001358351979372,8.0
1625024880000.0,1239,1625024880000.0,0.0,-0.0016175000000000002,1000.0822272100002,999.2791272100002,0.5,32.35,1.4,32.99364285714286,long_rentry,46.1911,0.04618730214700702,2.0
1625028060000.0,1292,1625028060000.0,0.0,-0.0022395799999999997,1000.0799876300001,998.7140876300001,0.7,31.994,2.1,32.66042857142857,long_rentry,68.5869,0.06858141433520527,53.0
1625033700000.0,1386,1625033700000.0,0.44850000000001206,-0.006903540000000001,1000.52158409,1000.52158409,-2.1,32.874,0.0,32.66042857142857,long_nclose,0.0,0.0,94.0
1625033760000.0,1387,1625033760000.0,0.0,-0.0006578,1000.52092629,1000.52292629,0.2,32.89,0.2,32.89,long_ientry_normal,6.578,0.006574575130968699,1.0
1625038500000.0,1466,1625038500000.0,0.04299999999999926,-0.0006621,1000.56326419,1000.56326419,-0.2,33.105,0.0,32.89,long_nclose,0.0,0.0,79.0
1625038620000.0,1468,1625038620000.0,0.0,-0.0006642000000000001,1000.5625999900001,1000.5845999900001,0.2,33.21,0.2,33.21,long_ientry_normal,6.642,0.0066382653120018505,2.0
1625038920000.0,1473,1625038920000.0,0.04339999999999975,-0.0006685400000000001,1000.6053314500001,1000.6053314500001,-0.2,33.427,0.0,33.21,long_nclose,0.0,0.0,5.0
1625038980000.0,1474,1625038980000.0,0.0,-0.0006689,1000.6046625500001,1000.5896625500001,0.2,33.445,0.2,33.445,long_ientry_normal,6.689,0.006684957856335945,1.0
1625039280000.0,1479,1625039280000.0,0.043599999999999285,-0.00067326,1000.64758929,1000.64758929,-0.2,33.663,0.0,33.445,long_nclose,0.0,0.0,5.0
1625039400000.0,1481,1625039400000.0,0.0,-0.0006697000000000001,1000.64691959,1000.64391959,0.2,33.485,0.2,33.485,long_ientry_normal,6.697,0.0066926703804214924,2.0
1625042040000.0,1525,1625042040000.0,0.04360000000000071,-0.0006740600000000001,1000.68984553,1000.68984553,-0.2,33.703,0.0,33.485,long_nclose,0.0,0.0,44.0
1625042100000.0,1526,1625042100000.0,0.0,-0.0006740000000000001,1000.68917153,1000.65417153,0.2,33.7,0.2,33.7,long_ientry_normal,6.740000000000001,0.006735358182895997,1.0
1625043240000.0,1545,1625043240000.0,0.0,-0.00065404,1000.68851749,1000.48611749,0.2,32.702,0.4,33.201,long_rentry,13.2804,0.013271262503651855,19.0
1625046420000.0,1598,1625046420000.0,0.0,-0.00064428,1000.68787321,1000.32067321,0.2,32.214,0.6,32.87200000000001,long_rentry,19.723200000000002,0.01970964226510715,53.0
1625051340000.0,1680,1625051340000.0,0.12899999999999778,-0.00198522,1000.81488799,1000.81488799,-0.6,33.087,0.0,32.87200000000001,long_nclose,0.0,0.0,82.0
1625051400000.0,1681,1625051400000.0,0.0,-0.0006612000000000001,1000.81422679,1000.80922679,0.2,33.06,0.2,33.06,long_ientry_normal,6.612000000000001,0.006606620712424576,1.0
1625054040000.0,1725,1625054040000.0,0.04320000000000022,-0.0006655200000000001,1000.85676127,1000.85676127,-0.2,33.276,0.0,33.06,long_nclose,0.0,0.0,44.0
1625054100000.0,1726,1625054100000.0,0.0,-0.0006650000000000001,1000.85609627,1000.84009627,0.2,33.25,0.2,33.25,long_ientry_normal,6.65,0.006644311829426112,1.0
1625058480000.0,1799,1625058480000.0,0.0,-0.0006453,1000.85545097,1000.6364509699999,0.2,32.265,0.4,32.7575,long_rentry,13.103000000000002,0.01309180060647215,73.0
1625066340000.0,1930,1625066340000.0,0.0,-0.00063568,1000.85481529,1000.43901529,0.2,31.784,0.6,32.433,long_rentry,19.459799999999998,0.01944317967272953,131.0
1625075880000.0,2089,1625075880000.0,0.12720000000000198,-0.0019587000000000003,1000.98005659,1000.98005659,-0.6,32.645,0.0,32.433,long_nclose,0.0,0.0,159.0
1625075940000.0,2090,1625075940000.0,0.0,-0.0006531000000000001,1000.97940349,1000.97440349,0.2,32.655,0.2,32.655,long_ientry_normal,6.531000000000001,0.006524609774416049,1.0
1625078400000.0,2131,1625078400000.0,0.04260000000000019,-0.0006573600000000001,1001.02134613,1001.02134613,-0.2,32.868,0.0,32.655,long_nclose,0.0,0.0,41.0
1625078580000.0,2134,1625078580000.0,0.0,-0.0006580000000000001,1001.0206881299999,1001.0276881299999,0.2,32.9,0.2,32.9,long_ientry_normal,6.58,0.006573290720186867,3.0
1625078820000.0,2138,1625078820000.0,0.043000000000000684,-0.0006623000000000001,1001.0630258299999,1001.0630258299999,-0.2,33.115,0.0,32.9,long_nclose,0.0,0.0,4.0
1625078880000.0,2139,1625078880000.0,0.0,-0.0006630000000000001,1001.0623628299999,1001.0573628299999,0.2,33.15,0.2,33.15,long_ientry_normal,6.63,0.006622964009212186,1.0
1625079540000.0,2150,1625079540000.0,0.04320000000000022,-0.0006673200000000001,1001.1048955099998,1001.1048955099998,-0.2,33.366,0.0,33.15,long_nclose,0.0,0.0,11.0
1625079600000.0,2151,1625079600000.0,0.0,-0.0006683,1001.1042272099997,1001.0922272099997,0.2,33.415,0.2,33.415,long_ientry_normal,6.683,0.006675628589267878,1.0
1625082420000.0,2198,1625082420000.0,0.04360000000000071,-0.0006726600000000002,1001.1471545499998,1001.1471545499998,-0.2,33.633,0.0,33.415,long_nclose,0.0,0.0,47.0
1625082540000.0,2200,1625082540000.0,0.0,-0.0006740000000000001,1001.1464805499998,1001.1434805499997,0.2,33.7,0.2,33.7,long_ientry_normal,6.740000000000001,0.006732281570122733,2.0
1625082780000.0,2204,1625082780000.0,0.043999999999999775,-0.0006784000000000001,1001.1898021499998,1001.1898021499998,-0.2,33.92,0.0,33.7,long_nclose,0.0,0.0,4.0
1625082840000.0,2205,1625082840000.0,0.0,-0.0006843000000000001,1001.1891178499998,1001.1981178499998,0.2,34.215,0.2,34.215,long_ientry_normal,6.843000000000001,0.006834872531070831,1.0
1625082960000.0,2207,1625082960000.0,0.0445999999999998,-0.0006887600000000001,1001.2330290899997,1001.2330290899997,-0.2,34.438,0.0,34.215,long_nclose,0.0,0.0,2.0
1625083020000.0,2208,1625083020000.0,0.0,-0.0006884,1001.2323406899998,1001.2373406899998,0.2,34.42,0.2,34.42,long_ientry_normal,6.884,0.006875527008302477,1.0
1625083260000.0,2212,1625083260000.0,0.04500000000000029,-0.0006929000000000002,1001.2766477899997,1001.2766477899997,-0.2,34.645,0.0,34.42,long_nclose,0.0,0.0,4.0
1625083800000.0,2221,1625083800000.0,0.0,-0.000693,1001.2759547899998,1001.2159547899998,0.2,34.65,0.2,34.65,long_ientry_normal,6.93,0.006921168901387876,9.0
1625085720000.0,2253,1625085720000.0,0.045199999999999824,-0.0006975200000000001,1001.3204572699998,1001.3204572699998,-0.2,34.876,0.0,34.65,long_nclose,0.0,0.0,32.0
1625086140000.0,2260,1625086140000.0,0.0,-0.00069726,1001.3197600099998,1001.3091600099998,0.2,34.863,0.2,34.863,long_ientry_normal,6.9726,0.0069634099699883755,7.0
1625088240000.0,2295,1625088240000.0,0.04540000000000077,-0.0007018000000000001,1001.3644582099997,1001.3644582099997,-0.2,35.09,0.0,34.863,long_nclose,0.0,0.0,35.0
1625088300000.0,2296,1625088300000.0,0.0,-0.00070062,1001.3637575899998,1001.3595575899998,0.2,35.031,0.2,35.031,long_ientry_normal,7.0062,0.0069966582542011985,1.0
1625090400000.0,2331,1625090400000.0,0.04579999999999984,-0.0007052,1001.4088523899998,1001.4088523899998,-0.2,35.26,0.0,35.031,long_nclose,0.0,0.0,35.0
1625090520000.0,2333,1625090520000.0,0.0,-0.00070416,1001.4081482299997,1001.4065482299997,0.2,35.208,0.2,35.208,long_ientry_normal,7.0416,0.007031698326447721,2.0
1625092320000.0,2363,1625092320000.0,0.0460000000000008,-0.0007087600000000001,1001.4534394699998,1001.4534394699998,-0.2,35.438,0.0,35.208,long_nclose,0.0,0.0,30.0
